accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.6867257952690125,0.8053590059280396,0.5527011752128601,0.21952107548713684,0.797002911567688,0.6958895921707153,0.8174993991851807,0.5339177250862122,0.2262493520975113,0.8049399852752686,0.0010000000474974513
0.6952068209648132,0.8158113360404968,0.5331666469573975,0.22561965882778168,0.8035522103309631,0.6928364038467407,0.8189488053321838,0.5321044921875,0.22541964054107666,0.8117131590843201,0.0010000000474974513
0.6967195272445679,0.8168255090713501,0.5269266963005066,0.22669416666030884,0.8044720888137817,0.6870984435081482,0.8190085291862488,0.536324143409729,0.22305014729499817,0.8187072277069092,0.0010000000474974513
0.6962969303131104,0.8172376751899719,0.5238947868347168,0.22648969292640686,0.8048416376113892,0.6926959156990051,0.8191062808036804,0.5349509119987488,0.22547467052936554,0.8126334547996521,0.0010000000474974513
0.6970066428184509,0.8174735307693481,0.5226126909255981,0.2267836630344391,0.8038981556892395,0.6881047487258911,0.8192079067230225,0.5378011465072632,0.22341088950634003,0.8171611428260803,0.0010000000474974513
0.6963528990745544,0.8183894157409668,0.5207644104957581,0.22675403952598572,0.80633544921875,0.6936680674552917,0.819707453250885,0.5375720262527466,0.2259029597043991,0.8115659356117249,0.0005000000237487257
0.6965516209602356,0.818736732006073,0.5199107527732849,0.22694097459316254,0.8067521452903748,0.6937098503112793,0.8197888731956482,0.5360690951347351,0.22593966126441956,0.8116395473480225,0.0005000000237487257
0.6965013146400452,0.8188088536262512,0.519690990447998,0.22695332765579224,0.8070352077484131,0.6979820132255554,0.8199047446250916,0.5317991375923157,0.22775056958198547,0.8062651753425598,0.0005000000237487257
0.6972013115882874,0.8188183903694153,0.5196274518966675,0.22733043134212494,0.8066656589508057,0.6906073093414307,0.819890022277832,0.5397993326187134,0.22457322478294373,0.8149893283843994,0.0005000000237487257
0.6961509585380554,0.818810224533081,0.5194991230964661,0.22671985626220703,0.8069251179695129,0.6909680366516113,0.820030152797699,0.5359851717948914,0.22463326156139374,0.8139586448669434,0.0005000000237487257
0.6967973709106445,0.8188928961753845,0.5193538665771484,0.22712576389312744,0.8069644570350647,0.6941351890563965,0.8200730085372925,0.5356941819190979,0.22609248757362366,0.810940146446228,0.0005000000237487257
0.6971113085746765,0.8195755481719971,0.5182361602783203,0.22738686203956604,0.8073968887329102,0.6957491040229797,0.8202171325683594,0.5335838198661804,0.22691407799720764,0.8098358511924744,0.0002500000118743628
0.6965102553367615,0.8196699619293213,0.517915666103363,0.22701196372509003,0.8073811531066895,0.696200966835022,0.8202722668647766,0.5321469306945801,0.22717039287090302,0.8096885681152344,0.0002500000118743628
0.6966708898544312,0.8197059631347656,0.517757773399353,0.22716809809207916,0.8077506422996521,0.6979212760925293,0.8202361464500427,0.5312202572822571,0.22795026004314423,0.8078112602233887,0.0002500000118743628
0.6971575021743774,0.8199089765548706,0.5174686908721924,0.22753503918647766,0.8081752061843872,0.6952896118164062,0.8202890157699585,0.5346648097038269,0.2268000841140747,0.810940146446228,0.0002500000118743628
0.697620689868927,0.8199379444122314,0.5174090266227722,0.2276938408613205,0.8073339462280273,0.6982592344284058,0.8203722238540649,0.528854489326477,0.22813858091831207,0.8076639771461487,0.0002500000118743628
0.697134792804718,0.8197931051254272,0.5175485014915466,0.22741112112998962,0.8074597716331482,0.6949933767318726,0.8204195499420166,0.5310801863670349,0.22669121623039246,0.8114187121391296,0.0002500000118743628
0.6975346803665161,0.8199294805526733,0.5173541307449341,0.22776706516742706,0.8081595301628113,0.6976972222328186,0.8203288912773132,0.5300383567810059,0.22785019874572754,0.8080689311027527,0.0002500000118743628
0.6970439553260803,0.8199016451835632,0.5173852443695068,0.22751156985759735,0.8084818720817566,0.6951908469200134,0.8203678727149963,0.5322242379188538,0.22681249678134918,0.8114187121391296,0.0002500000118743628
0.6975411772727966,0.8203156590461731,0.5167516469955444,0.22781573235988617,0.8084504008293152,0.6996604800224304,0.820497453212738,0.5247315764427185,0.22893239557743073,0.8071118593215942,0.0001250000059371814
0.6976758241653442,0.8204829096794128,0.5164441466331482,0.2279260903596878,0.8086233735084534,0.6990870833396912,0.8204587697982788,0.5247036218643188,0.22861729562282562,0.8074063062667847,0.0001250000059371814
0.6977472305297852,0.8205335736274719,0.5163871645927429,0.22795848548412323,0.8085447549819946,0.7001807689666748,0.8205065727233887,0.5225872993469238,0.22900532186031342,0.8054553270339966,0.0001250000059371814
0.697822630405426,0.8205745220184326,0.5163061618804932,0.2278631031513214,0.8076170086860657,0.6994250416755676,0.8204973936080933,0.5238797068595886,0.22878429293632507,0.8071118593215942,0.0001250000059371814
